series,index,velocity,inp_acc,inp_acc_norm,velocity_norm
14,2131,88.37165783709648,506.25,0.5789473684210527,0.776711084829824
14,2132,88.37200584601615,506.25,0.5789473684210527,0.7767180815448378
14,2133,88.37234659905742,506.25,0.5789473684210527,0.7767249323805065
14,2134,88.37268024747603,506.25,0.5789473684210527,0.7767316403778248
14,2135,88.37300693937568,506.25,0.5789473684210527,0.7767382085144157
14,2136,88.37332681977382,506.25,0.5789473684210527,0.7767446397058533
14,2137,88.37364003066585,506.25,0.5789473684210527,0.776750936806953
14,2138,88.37394671108805,506.25,0.5789473684210527,0.7767571026130378
14,2139,88.37424699717923,506.25,0.5789473684210527,0.7767631398611767
14,2140,88.37454102224105,506.25,0.5789473684210527,0.7767690512313983
14,2141,88.37482891679713,506.25,0.5789473684210527,0.7767748393478777
14,2142,88.37511080865089,506.25,0.5789473684210527,0.7767805067801015
14,2143,88.3753868229422,506.25,0.5789473684210527,0.7767860560440054
14,2144,88.37565708220288,506.25,0.5789473684210527,0.7767914896030894
14,2145,88.37592170641106,506.25,0.5789473684210527,0.776796809869513
14,2146,88.37618081304426,506.25,0.5789473684210527,0.7768020192051601
14,2147,88.37643451713161,506.25,0.5789473684210527,0.7768071199226898
14,2148,88.37668293130474,506.25,0.5789473684210527,0.7768121142865598
14,2149,88.37692616584782,506.25,0.5789473684210527,0.7768170045140319
14,2150,88.37716432874633,506.25,0.5789473684210527,0.7768217927761527
14,2151,88.3773975257351,506.25,0.5789473684210527,0.7768264811987198
14,2152,88.37762586034508,506.25,0.5789473684210527,0.7768310718632216
14,2153,88.3778494339493,506.25,0.5789473684210527,0.7768355668077616
14,2154,88.37806834580786,506.25,0.5789473684210527,0.7768399680279632
14,2155,88.37828269311186,506.25,0.5789473684210527,0.7768442774778517
14,2156,88.37849257102658,506.25,0.5789473684210527,0.7768484970707243
14,2157,88.37869807273371,506.25,0.5789473684210527,0.7768526286799975
14,2158,88.37889928947259,506.25,0.5789473684210527,0.7768566741400371
14,2159,88.37909631058069,506.25,0.5789473684210527,0.776860635246972
14,2160,88.37928922353329,506.25,0.5789473684210527,0.7768645137594916
14,2161,88.37947811398232,506.25,0.5789473684210527,0.7768683113996266
14,2162,88.37966306579422,506.25,0.5789473684210527,0.7768720298535112
14,2163,88.37984416108723,506.25,0.5789473684210527,0.7768756707721314
14,2164,88.38002148026786,506.25,0.5789473684210527,0.7768792357720586
14,2165,88.38019510206641,506.25,0.5789473684210527,0.7768827264361653
14,2166,88.38036510357205,506.25,0.5789473684210527,0.7768861443143278
14,2167,88.38053156026693,506.25,0.5789473684210527,0.776889490924114
14,2168,88.38069454605971,506.25,0.5789473684210527,0.7768927677514565
14,2169,88.38085413331835,506.25,0.5789473684210527,0.7768959762513121
14,2170,88.38101039290221,506.25,0.5789473684210527,0.7768991178483078
14,2171,88.38116339419342,506.25,0.5789473684210527,0.7769021939373701
14,2172,88.38131320512775,506.25,0.5789473684210527,0.7769052058843469
14,2173,88.38145989222477,506.25,0.5789473684210527,0.776908155026613
14,2174,88.38160352061725,506.25,0.5789473684210527,0.7769110426736625
14,2175,88.3817441540802,506.25,0.5789473684210527,0.776913870107691
14,2176,88.38188185505904,506.25,0.5789473684210527,0.7769166385841628
14,2177,88.3820166846974,506.25,0.5789473684210527,0.7769193493323701
14,2178,88.38214870286426,506.25,0.5789473684210527,0.7769220035559774
14,2179,88.3822779681804,506.25,0.5789473684210527,0.7769246024335554
14,2180,88.38240453804453,506.25,0.5789473684210527,0.7769271471191037
14,2181,88.38252846865869,506.25,0.5789473684210527,0.7769296387425646
14,2182,88.3826498150533,506.25,0.5789473684210527,0.7769320784103233
14,2183,88.38276863111143,506.25,0.5789473684210527,0.7769344672056986
14,2184,88.3828849695928,506.25,0.5789473684210527,0.7769368061894235
14,2185,88.38299888215718,506.25,0.5789473684210527,0.7769390964001177
14,2186,88.38311041938736,506.25,0.5789473684210527,0.7769413388547473
14,2187,88.38321963081151,506.25,0.5789473684210527,0.7769435345490752
14,2188,88.3833265649252,506.25,0.5789473684210527,0.7769456844581049
14,2189,88.38343126921292,506.25,0.5789473684210527,0.7769477895365109
14,2190,88.3835337901692,506.25,0.5789473684210527,0.7769498507190653
14,2191,88.3836341733192,506.25,0.5789473684210527,0.7769518689210511
14,2192,88.38373246323891,506.25,0.5789473684210527,0.7769538450386682
14,2193,88.383828703575,506.25,0.5789473684210527,0.7769557799494315
14,2194,88.38392293706407,506.25,0.5789473684210527,0.7769576745125606
14,2195,88.38401520555173,506.25,0.5789473684210527,0.7769595295693608
14,2196,88.38410555001116,506.25,0.5789473684210527,0.7769613459435969
14,2197,88.38419401056123,506.25,0.5789473684210527,0.7769631244418591
14,2198,88.38428062648435,506.25,0.5789473684210527,0.7769648658539194
14,2199,88.38436543624394,506.25,0.5789473684210527,0.776966570953084
14,2200,88.38444847750144,506.25,0.5789473684210527,0.7769682404965361
14,2201,88.38452978713305,506.25,0.5789473684210527,0.7769698752256713
14,2202,88.38460940124615,506.25,0.5789473684210527,0.7769714758664279
14,2203,88.38468735519524,506.25,0.5789473684210527,0.7769730431296074
14,2204,88.3847636835977,506.25,0.5789473684210527,0.7769745777111923
14,2205,88.38483842034913,506.25,0.5789473684210527,0.7769760802926529
14,2206,88.38491159863838,506.25,0.5789473684210527,0.7769775515412507
14,2207,88.38498325096236,506.25,0.5789473684210527,0.7769789921103358
14,2208,88.38505340914035,506.25,0.5789473684210527,0.7769804026396341
14,2209,88.38512210432822,506.25,0.5789473684210527,0.7769817837555342
14,2210,88.38518936703221,506.25,0.5789473684210527,0.7769831360713637
14,2211,88.38525522712253,506.25,0.5789473684210527,0.7769844601876628
14,2212,88.38531971384653,506.25,0.5789473684210527,0.7769857566924492
14,2213,88.38538285584174,506.25,0.5789473684210527,0.7769870261614797
14,2214,88.38544468114858,506.25,0.5789473684210527,0.776988269158507
14,2215,88.38550521722286,506.25,0.5789473684210527,0.7769894862355295
14,2216,88.38556449094783,506.25,0.5789473684210527,0.7769906779330351
14,2217,88.38562252864625,506.25,0.5789473684210527,0.776991844780242
14,2218,88.38567935609204,506.25,0.5789473684210527,0.7769929872953347
14,2219,88.38573499852166,506.25,0.5789473684210527,0.7769941059856922
14,2220,88.38578948064539,506.25,0.5789473684210527,0.7769952013481141
14,2221,88.38584282665829,506.25,0.5789473684210527,0.7769962738690419
14,2222,88.38589506025093,506.25,0.5789473684210527,0.7769973240247741
14,2223,88.38594620461984,506.25,0.5789473684210527,0.7769983522816768
14,2224,88.38599628247796,506.25,0.5789473684210527,0.7769993590963933
14,2225,88.38604531606458,506.25,0.5789473684210527,0.7770003449160441
14,2226,88.38609332715531,506.25,0.5789473684210527,0.7770013101784277
14,2227,88.38614033707165,506.25,0.5789473684210527,0.7770022553122129
14,2228,88.38618636669058,506.25,0.5789473684210527,0.7770031807371305
14,2229,88.38623143645373,506.25,0.5789473684210527,0.7770040868641597
14,2230,88.38627556637651,506.25,0.5789473684210527,0.7770049740957099
14,2231,88.38631877605697,506.25,0.5789473684210527,0.7770058428257995
14,2232,88.38636108468451,506.25,0.5789473684210527,0.7770066934402315
14,2233,88.38640251104839,506.25,0.5789473684210527,0.7770075263167637
14,2234,88.38644307354608,506.25,0.5789473684210527,0.7770083418252767
14,2235,88.38648279019147,506.25,0.5789473684210527,0.7770091403279396
14,2236,88.38652167862278,506.25,0.5789473684210527,0.7770099221793689
14,2237,88.3865597561105,506.25,0.5789473684210527,0.7770106877267873
14,2238,88.38659703956492,506.25,0.5789473684210527,0.777011437310176
14,2239,88.38663354554379,506.25,0.5789473684210527,0.7770121712624283
14,2240,88.38666929025956,506.25,0.5789473684210527,0.7770128899094957
14,2241,88.38670428958665,506.25,0.5789473684210527,0.7770135935705327
14,2242,88.38673855906843,506.25,0.5789473684210527,0.7770142825580391
14,2243,88.38677211392418,506.25,0.5789473684210527,0.7770149571779976
14,2244,88.38680496905585,506.25,0.5789473684210527,0.7770156177300123
14,2245,88.3868371390546,506.25,0.5789473684210527,0.7770162645074383
14,2246,88.38686863820742,506.25,0.5789473684210527,0.7770168977975149
14,2247,88.38689948050329,506.25,0.5789473684210527,0.7770175178814911
14,2248,88.38692967963952,506.25,0.5789473684210527,0.7770181250347505
14,2249,88.38695924902784,506.25,0.5789473684210527,0.7770187195269358
14,2250,88.38698820180028,506.25,0.5789473684210527,0.7770193016220666
14,2251,88.38701655081505,506.25,0.5789473684210527,0.7770198715786569
14,2252,88.38704430866224,506.25,0.5789473684210527,0.7770204296498306
14,2253,88.3870714876694,506.25,0.5789473684210527,0.7770209760834326
14,2254,88.38709809990704,506.25,0.5789473684210527,0.7770215111221401
14,2255,88.38712415719394,506.25,0.5789473684210527,0.7770220350035701
14,2256,88.38714967110243,506.25,0.5789473684210527,0.7770225479603841
14,2257,88.38717465296361,506.25,0.5789473684210527,0.777023050220393
